% of respondents that “agree”,Opinion on products and services using AI,Year,Category,Country,% of respondents,Label,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change,Response,Global opinions on the impact of AI on current jobs,Demographic group,Party,Policy
,,,,Germany,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,Germany,,,,I have a good understanding of what  artificial intelligence is ,,10%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,8%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,15%,,,,,
,,,,Great Britain,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,Great Britain,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,5%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence make me nervous ,,14%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,12%,,,,,
,,,,Hungary,,,,I have a good understanding of what  artificial intelligence is ,,8%,,,,,
,,,,Hungary,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,9%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence make me nervous ,,13%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-1%,,,,,
,,,,India,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-9%,,,,,
,,,,India,,,,I have a good understanding of what  artificial intelligence is ,,-8%,,,,,
,,,,India,,,,I know which types of products and  services use artificial intelligence ,,-7%,,,,,
,,,,India,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-4%,,,,,
,,,,India,,,,Products and services using artificial  intelligence make me nervous ,,-2%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence make me nervous ,,17%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,7%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-1%,,,,,
,,,,Italy,,,,I know which types of products and  services use artificial intelligence ,,6%,,,,,
,,,,Italy,,,,I have a good understanding of what  artificial intelligence is ,,9%,,,,,
,,,,Japan,,,,I have a good understanding of what  artificial intelligence is ,,3%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,10%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence make me nervous ,,5%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,13%,,,,,
,,,,Japan,,,,I know which types of products and  services use artificial intelligence ,,12%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-1%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence make me nervous ,,2%,,,,,
,,,,Malaysia,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,Malaysia,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Mexico,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Mexico,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,7%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,11%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence make me nervous ,,10%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-8%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,10%,,,,,
,,,,Netherlands,,,,I know which types of products and  services use artificial intelligence ,,-4%,,,,,
,,,,Netherlands,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence make me nervous ,,13%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%,,,,,
,,,,Peru,,,,I have a good understanding of what  artificial intelligence is ,,3%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Peru,,,,I know which types of products and  services use artificial intelligence ,,2%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence make me nervous ,,15%,,,,,
,,,,Poland,,,,I have a good understanding of what  artificial intelligence is ,,1%,,,,,
,,,,Poland,,,,I know which types of products and  services use artificial intelligence ,,-5%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence make me nervous ,,7%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-4%,,,,,
,,,,South Africa,,,,I have a good understanding of what  artificial intelligence is ,,-2%,,,,,
,,,,South Africa,,,,I know which types of products and  services use artificial intelligence ,,7%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,7%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence make me nervous ,,2%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,4%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence make me nervous ,,8%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,9%,,,,,
,,,,South Korea,,,,I know which types of products and  services use artificial intelligence ,,5%,,,,,
,,,,South Korea,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-6%,,,,,
,,,,Spain,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence make me nervous ,,0%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%,,,,,
,,,,Spain,,,,I have a good understanding of what  artificial intelligence is ,,3%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence make me nervous ,,19%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Sweden,,,,I know which types of products and  services use artificial intelligence ,,2%,,,,,
,,,,Sweden,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%,,,,,
,,,,Turkey,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence make me nervous ,,5%,,,,,
,,,,Turkey,,,,I know which types of products and  services use artificial intelligence ,,7%,,,,,
,,,,United States,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,United States,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,12%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence make me nervous ,,12%,,,,,
,,,,,21%,,,,,,Very likely,AI will change how you do your current job in the next 5 years,,,
,,,,,39%,,,,,,Somewhat likely,AI will change how you do your current job in the next 5 years,,,
,,,,,22%,,,,,,Not very likely,AI will change how you do your current job in the next 5 years,,,
,,,,,10%,,,,,,Not likely at all,AI will change how you do your current job in the next 5 years,,,
,,,,,8%,,,,,,Don’t Know,AI will change how you do your current job in the next 5 years,,,
,,,,,11%,,,,,,Very likely,AI will replace your current job in the next 5 years,,,
,,,,,25%,,,,,,Somewhat likely,AI will replace your current job in the next 5 years,,,
,,,,,33%,,,,,,Not very likely,AI will replace your current job in the next 5 years,,,
,,,,,23%,,,,,,Not likely at all,AI will replace your current job in the next 5 years,,,
,,,,,8%,,,,,,Don’t Know,AI will replace your current job in the next 5 years,,,
,,2023,,,66%,,,,,,,,Gen Z,,
,,2023,,,61%,,,,,,,,Millennial,,
,,2023,,,53%,,,,,,,,Gen X,,
,,2023,,,46%,,,,,,,,Baby boomer,,
,,2024,,,67%,,,,,,,,Gen Z,,
,,2024,,,64%,,,,,,,,Millennial,,
,,2024,,,55%,,,,,,,,Gen X,,
,,2024,,,49%,,,,,,,,Baby boomer,,
,,,,Global,36%,,,The economy in my country ,,,,,,,
,,,,Global,31%,,,The job market ,,,,,,,
,,,,Global,37%,,,My job ,,,,,,,
,,,,Global,55%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Global,51%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Global,38%,,,My health ,,,,,,,
,,,,Argentina,39%,,,The economy in my country ,,,,,,,
,,,,Argentina,40%,,,The job market ,,,,,,,
,,,,Argentina,40%,,,My job ,,,,,,,
,,,,Argentina,60%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Argentina,61%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Argentina,49%,,,My health ,,,,,,,
,,,,Australia,26%,,,The economy in my country ,,,,,,,
,,,,Australia,21%,,,The job market ,,,,,,,
,,,,Australia,29%,,,My job ,,,,,,,
,,,,Australia,48%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Australia,45%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Australia,29%,,,My health ,,,,,,,
,,,,Belgium,23%,,,The economy in my country ,,,,,,,
,,,,Belgium,17%,,,The job market ,,,,,,,
,,,,Belgium,26%,,,My job ,,,,,,,
,,,,Belgium,49%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Belgium,39%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Belgium,34%,,,My health ,,,,,,,
,,,,Brazil,41%,,,The job market ,,,,,,,
,,,,Brazil,46%,,,My job ,,,,,,,
,,,,Brazil,59%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Brazil,57%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Brazil,44%,,,My health ,,,,,,,
,,,,Brazil,40%,,,The economy in my country ,,,,,,,
,,,,Canada,24%,,,My job ,,,,,,,
,,,,Canada,18%,,,The job market ,,,,,,,
,,,,Canada,43%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Canada,42%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Canada,18%,,,The economy in my country ,,,,,,,
,,,,Canada,24%,,,My health ,,,,,,,
,,,,Chile,39%,,,My job ,,,,,,,
,,,,Chile,62%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Chile,63%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Chile,45%,,,My health ,,,,,,,
,,,,Chile,32%,,,The job market ,,,,,,,
,,,,Chile,32%,,,The economy in my country ,,,,,,,
,,,,China,55%,,,My health ,,,,,,,
,,,,China,72%,,,The economy in my country ,,,,,,,
,,,,China,44%,,,The job market ,,,,,,,
,,,,China,62%,,,My job ,,,,,,,
,,,,China,71%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,China,75%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Colombia,49%,,,My health ,,,,,,,
,,,,Colombia,67%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Colombia,66%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Colombia,44%,,,The job market ,,,,,,,
,,,,Colombia,39%,,,The economy in my country ,,,,,,,
,,,,Colombia,45%,,,My job ,,,,,,,
,,,,France,50%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,France,29%,,,The economy in my country ,,,,,,,
,,,,France,27%,,,The job market ,,,,,,,
,,,,France,33%,,,My job ,,,,,,,
,,,,France,33%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,France,39%,,,My health ,,,,,,,
,,,,Germany,31%,,,The economy in my country ,,,,,,,
,,,,Germany,22%,,,The job market ,,,,,,,
,,,,Germany,27%,,,My job ,,,,,,,
,,,,Germany,41%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Germany,43%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Germany,27%,,,My health ,,,,,,,
,,,,Great Britain,28%,,,The economy in my country ,,,,,,,
,,,,Great Britain,30%,,,My health ,,,,,,,
,,,,Great Britain,42%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Great Britain,45%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Great Britain,26%,,,My job ,,,,,,,
,,,,Great Britain,21%,,,The job market ,,,,,,,
,,,,Hungary,39%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Hungary,55%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Hungary,27%,,,The economy in my country ,,,,,,,
,,,,Hungary,31%,,,My health ,,,,,,,
,,,,Hungary,24%,,,My job ,,,,,,,
,,,,Hungary,25%,,,The job market ,,,,,,,
,,,,India,48%,,,The job market ,,,,,,,
,,,,India,51%,,,My health ,,,,,,,
,,,,India,52%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,India,52%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,India,46%,,,My job ,,,,,,,
,,,,India,52%,,,The economy in my country ,,,,,,,
,,,,Indonesia,78%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Indonesia,64%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Indonesia,51%,,,My health ,,,,,,,
,,,,Indonesia,59%,,,My job ,,,,,,,
,,,,Indonesia,45%,,,The job market ,,,,,,,
,,,,Indonesia,54%,,,The economy in my country ,,,,,,,
,,,,Ireland,52%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Ireland,25%,,,The job market ,,,,,,,
,,,,Ireland,31%,,,The economy in my country ,,,,,,,
,,,,Ireland,35%,,,My health ,,,,,,,
,,,,Ireland,47%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Ireland,33%,,,My job ,,,,,,,
,,,,Italy,44%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Italy,28%,,,The economy in my country ,,,,,,,
,,,,Italy,29%,,,The job market ,,,,,,,
,,,,Italy,32%,,,My job ,,,,,,,
,,,,Italy,47%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Italy,38%,,,My health ,,,,,,,
,,,,Japan,39%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Japan,35%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Japan,19%,,,My health ,,,,,,,
,,,,Japan,25%,,,The economy in my country ,,,,,,,
,,,,Japan,17%,,,My job ,,,,,,,
,,,,Japan,18%,,,The job market ,,,,,,,
,,,,Malaysia,43%,,,The economy in my country ,,,,,,,
,,,,Malaysia,57%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Malaysia,38%,,,The job market ,,,,,,,
,,,,Malaysia,43%,,,My health ,,,,,,,
,,,,Malaysia,53%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Malaysia,43%,,,My job ,,,,,,,
,,,,Mexico,50%,,,The economy in my country ,,,,,,,
,,,,Mexico,52%,,,The job market ,,,,,,,
,,,,Mexico,51%,,,My job ,,,,,,,
,,,,Mexico,71%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Mexico,69%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Mexico,56%,,,My health ,,,,,,,
,,,,Netherlands,25%,,,My health ,,,,,,,
,,,,Netherlands,24%,,,The economy in my country ,,,,,,,
,,,,Netherlands,42%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Netherlands,27%,,,My job ,,,,,,,
,,,,Netherlands,21%,,,The job market ,,,,,,,
,,,,Netherlands,53%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,New Zealand,27%,,,The economy in my country ,,,,,,,
,,,,New Zealand,19%,,,The job market ,,,,,,,
,,,,New Zealand,51%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,New Zealand,47%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,New Zealand,31%,,,My health ,,,,,,,
,,,,New Zealand,33%,,,My job ,,,,,,,
,,,,Peru,44%,,,The economy in my country ,,,,,,,
,,,,Peru,57%,,,My health ,,,,,,,
,,,,Peru,63%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Peru,65%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Peru,57%,,,My job ,,,,,,,
,,,,Peru,47%,,,The job market ,,,,,,,
,,,,Poland,37%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Poland,48%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Poland,21%,,,My job ,,,,,,,
,,,,Poland,17%,,,The job market ,,,,,,,
,,,,Poland,33%,,,The economy in my country ,,,,,,,
,,,,Poland,24%,,,My health ,,,,,,,
,,,,Singapore,41%,,,My health ,,,,,,,
,,,,Singapore,58%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Singapore,66%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Singapore,39%,,,My job ,,,,,,,
,,,,Singapore,34%,,,The job market ,,,,,,,
,,,,Singapore,52%,,,The economy in my country ,,,,,,,
,,,,South Africa,66%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,South Africa,53%,,,My job ,,,,,,,
,,,,South Africa,43%,,,The job market ,,,,,,,
,,,,South Africa,49%,,,The economy in my country ,,,,,,,
,,,,South Africa,49%,,,My health ,,,,,,,
,,,,South Africa,70%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,South Korea,35%,,,My health ,,,,,,,
,,,,South Korea,51%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,South Korea,62%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,South Korea,19%,,,The job market ,,,,,,,
,,,,South Korea,34%,,,The economy in my country ,,,,,,,
,,,,South Korea,23%,,,My job ,,,,,,,
,,,,Spain,48%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Spain,28%,,,My job ,,,,,,,
,,,,Spain,23%,,,The job market ,,,,,,,
,,,,Spain,26%,,,The economy in my country ,,,,,,,
,,,,Spain,33%,,,My health ,,,,,,,
,,,,Spain,50%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Sweden,21%,,,The economy in my country ,,,,,,,
,,,,Sweden,18%,,,The job market ,,,,,,,
,,,,Sweden,32%,,,My job ,,,,,,,
,,,,Sweden,41%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Sweden,39%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Sweden,21%,,,My health ,,,,,,,
,,,,Switzerland,29%,,,My job ,,,,,,,
,,,,Switzerland,32%,,,The economy in my country ,,,,,,,
,,,,Switzerland,25%,,,The job market ,,,,,,,
,,,,Switzerland,43%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Switzerland,40%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Switzerland,30%,,,My health ,,,,,,,
,,,,Thailand,51%,,,My health ,,,,,,,
,,,,Thailand,67%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Thailand,65%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Thailand,52%,,,My job ,,,,,,,
,,,,Thailand,51%,,,The job market ,,,,,,,
,,,,Thailand,53%,,,The economy in my country ,,,,,,,
,,,,Turkey,62%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,Turkey,60%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,Turkey,43%,,,My health ,,,,,,,
,,,,Turkey,47%,,,The job market ,,,,,,,
,,,,Turkey,41%,,,My job ,,,,,,,
,,,,Turkey,35%,,,The economy in my country ,,,,,,,
,,,,United States,24%,,,The economy in my country ,,,,,,,
,,,,United States,28%,,,My health ,,,,,,,
,,,,United States,39%,,,"My entertainment options  (television/video content,  movies, music, books) ",,,,,,,
,,,,United States,43%,,,The amount of time it takes me  to get things done ,,,,,,,
,,,,United States,31%,,,My job ,,,,,,,
,,,,United States,21%,,,The job market ,,,,,,,
,,,,,64.50%,Agree,,,,,,,,All,
,,,,,73.70%,Agree,,,,,,,,2023,
,,,,,55.70%,Agree,,,,,,,,2022,
,,,,,79.20%,Agree,,,,,,,,Democrats,
,,,,,55.50%,Agree,,,,,,,,Republicans,
,,,,,84.40%,Agree,,,,,,,,Democrats in 2023,
,,,,,74.60%,Agree,,,,,,,,Democrats in 2022,
,,,,,67.90%,Agree,,,,,,,,Republicans in 2023,
,,,,,42.70%,Agree,,,,,,,,Republicans in 2022,
,,,,,19.10%,Neither agree nor disagree,,,,,,,,All,
,,,,,14.40%,Neither agree nor disagree,,,,,,,,2023,
,,,,,23.60%,Neither agree nor disagree,,,,,,,,2022,
,,,,,15.10%,Neither agree nor disagree,,,,,,,,Democrats,
,,,,,21.60%,Neither agree nor disagree,,,,,,,,Republicans,
,,,,,11.60%,Neither agree nor disagree,,,,,,,,Democrats in 2023,
,,,,,18.30%,Neither agree nor disagree,,,,,,,,Democrats in 2022,
,,,,,15.50%,Neither agree nor disagree,,,,,,,,Republicans in 2023,
,,,,,28.00%,Neither agree nor disagree,,,,,,,,Republicans in 2022,
,,,,,16.40%,Disagree,,,,,,,,All,
,,,,,12.00%,Disagree,,,,,,,,2023,
,,,,,20.70%,Disagree,,,,,,,,2022,
,,,,,5.70%,Disagree,,,,,,,,Democrats,
,,,,,22.90%,Disagree,,,,,,,,Republicans,
,,,,,4.00%,Disagree,,,,,,,,Democrats in 2023,
,,,,,7.10%,Disagree,,,,,,,,Democrats in 2022,
,,,,,16.60%,Disagree,,,,,,,,Republicans in 2023,
,,,,,29.40%,Disagree,,,,,,,,Republicans in 2022,
,,,,,80.40%,Agree,,,,,,,,,Stricter data privacy regulations 
,,,,,76.20%,Agree,,,,,,,,,Retraining for unemployed 
,,,,,72.50%,Agree,,,,,,,,,AI deployment regulations 
,,,,,57.70%,Agree,,,,,,,,,Stronger antitrust 
,,,,,54.70%,Agree,,,,,,,,,Parole and sentencing AI regulations 
,,,,,51.70%,Agree,,,,,,,,,Bias audits for hiring and promotion AI 
,,,,,46.40%,Agree,,,,,,,,,Stronger social safety net 
,,,,,45.60%,Agree,,,,,,,,,Federal regulations on local government AI 
,,,,,44.40%,Agree,,,,,,,,,Semiconductor and AI hardware subsidies 
,,,,,42.90%,Agree,,,,,,,,,Higher corporate income taxes 
,,,,,42.40%,Agree,,,,,,,,,Robot tax 
,,,,,39.10%,Agree,,,,,,,,,Immigration reform for AI developers 
,,,,,34.20%,Agree,,,,,,,,,Law enforcement facial recognition ban 
,,,,,33.90%,Agree,,,,,,,,,Wage subsidies for wage declines 
,,,,,24.60%,Agree,,,,,,,,,Universal basic income 
,,,,,9.50%,Neither agree nor disagree,,,,,,,,,Stricter data privacy regulations 
,,,,,14.00%,Neither agree nor disagree,,,,,,,,,Retraining for unemployed 
,,,,,14.50%,Neither agree nor disagree,,,,,,,,,AI deployment regulations 
,,,,,24.50%,Neither agree nor disagree,,,,,,,,,Stronger antitrust 
,,,,,20.20%,Neither agree nor disagree,,,,,,,,,Parole and sentencing AI regulations 
,,,,,18.30%,Neither agree nor disagree,,,,,,,,,Bias audits for hiring and promotion AI 
,,,,,24.60%,Neither agree nor disagree,,,,,,,,,Stronger social safety net 
,,,,,22.80%,Neither agree nor disagree,,,,,,,,,Federal regulations on local government AI 
,,,,,27.40%,Neither agree nor disagree,,,,,,,,,Semiconductor and AI hardware subsidies 
,,,,,30.50%,Neither agree nor disagree,,,,,,,,,Higher corporate income taxes 
,,,,,22.30%,Neither agree nor disagree,,,,,,,,,Robot tax 
,,,,,34.10%,Neither agree nor disagree,,,,,,,,,Immigration reform for AI developers 
,,,,,26.00%,Neither agree nor disagree,,,,,,,,,Law enforcement facial recognition ban 
,,,,,27.00%,Neither agree nor disagree,,,,,,,,,Wage subsidies for wage declines 
,,,,,17.10%,Neither agree nor disagree,,,,,,,,,Universal basic income 
,,,,,10.10%,Disagree,,,,,,,,,Stricter data privacy regulations 
,,,,,9.80%,Disagree,,,,,,,,,Retraining for unemployed 
,,,,,13.00%,Disagree,,,,,,,,,AI deployment regulations 
,,,,,17.80%,Disagree,,,,,,,,,Stronger antitrust 
,,,,,25.10%,Disagree,,,,,,,,,Parole and sentencing AI regulations 
,,,,,30.00%,Disagree,,,,,,,,,Bias audits for hiring and promotion AI 
,,,,,29.00%,Disagree,,,,,,,,,Stronger social safety net 
,,,,,31.70%,Disagree,,,,,,,,,Federal regulations on local government AI 
,,,,,28.20%,Disagree,,,,,,,,,Semiconductor and AI hardware subsidies 
,,,,,26.60%,Disagree,,,,,,,,,Higher corporate income taxes 
,,,,,35.30%,Disagree,,,,,,,,,Robot tax 
,,,,,26.80%,Disagree,,,,,,,,,Immigration reform for AI developers 
,,,,,39.80%,Disagree,,,,,,,,,Law enforcement facial recognition ban 
,,,,,39.00%,Disagree,,,,,,,,,Wage subsidies for wage declines 
,,,,,58.30%,Disagree,,,,,,,,,Universal basic income 
,,,,,34.30%,Likely,,,,,,,,All,
,,,,,36.60%,Likely,,,,,,,,2023,
,,,,,32.20%,Likely,,,,,,,,2022,
,,,,,35.50%,Likely,,,,,,,,Democrats,
,,,,,33.60%,Likely,,,,,,,,Republicans,
,,,,,40.50%,Likely,,,,,,,,Democrats in 2023,
,,,,,31.10%,Likely,,,,,,,,Democrats in 2022,
,,,,,34.10%,Likely,,,,,,,,Republicans in 2023,
,,,,,33.00%,Likely,,,,,,,,Republicans in 2022,
,,,,,9.20%,Don’t know,,,,,,,,All,
,,,,,9.10%,Don’t know,,,,,,,,2023,
,,,,,9.20%,Don’t know,,,,,,,,2022,
,,,,,8.90%,Don’t know,,,,,,,,Democrats,
,,,,,8.80%,Don’t know,,,,,,,,Republicans,
,,,,,8.10%,Don’t know,,,,,,,,Democrats in 2023,
,,,,,9.70%,Don’t know,,,,,,,,Democrats in 2022,
,,,,,8.40%,Don’t know,,,,,,,,Republicans in 2023,
,,,,,9.10%,Don’t know,,,,,,,,Republicans in 2022,
,,,,,56.50%,Unlikely,,,,,,,,All,
,,,,,54.30%,Unlikely,,,,,,,,2023,
,,,,,58.60%,Unlikely,,,,,,,,2022,
,,,,,55.60%,Unlikely,,,,,,,,Democrats,
,,,,,57.70%,Unlikely,,,,,,,,Republicans,
,,,,,51.40%,Unlikely,,,,,,,,Democrats in 2023,
,,,,,59.20%,Unlikely,,,,,,,,Democrats in 2022,
,,,,,57.40%,Unlikely,,,,,,,,Republicans in 2023,
,,,,,57.90%,Unlikely,,,,,,,,Republicans in 2022,
